response	cluster	gene	group1	group2	n_group1	n_group2	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj	pct.diff	n
responders	Trm_merge	DCP1B	responders_Pre	responders_Post	2112	459	5.1199396388434246e-11	0.5738363000924276	0.4610084396249038	0.271	0.133	1.778820628723371e-6	0.138	1
responders	Trm_merge	SLC1A5	responders_Pre	responders_Post	2112	459	5.4459549220958065e-11	0.5732147867564534	0.4719603546103152	0.266	0.131	1.892088118583746e-6	0.135	1
responders	Trm_merge	MT1E	responders_Pre	responders_Post	2112	459	5.4905731510505345e-11	0.556364296560375	0.38243826623907706	0.147	0.035	1.9075898298694874e-6	0.112	1
responders	Trm_merge	MCAM	responders_Pre	responders_Post	2112	459	1.0375378509435696e-10	0.5626892907836535	0.4359875910751789	0.19	0.07	3.604717755533244e-6	0.12	1
responders	Trm_merge	EID1	responders_Pre	responders_Post	2112	459	1.0576877767639529e-10	0.5944571326005149	0.422525035909846	0.694	0.621	3.6747246428110023e-6	0.07299999999999995	1
responders	Trm_merge	ENTPD1	responders_Pre	responders_Post	2112	459	1.0642254475978271e-10	0.5803093228031954	0.5547976576517576	0.356	0.214	3.697438472589131e-6	0.142	1
responders	Trm_merge	FYN	responders_Pre	responders_Post	2112	459	1.0890585581152279e-10	0.5947691787152571	0.3971362536941947	0.725	0.632	3.783716148459737e-6	0.09299999999999996	1
responders	Trm_merge	ZFAS1	responders_Pre	responders_Post	2112	459	1.1305296343037048e-10	0.5955846248432033	0.4013066667349854	0.825	0.773	3.9277991084613615e-6	0.05199999999999993	1
responders	Trm_merge	ARL6IP5	responders_Pre	responders_Post	2112	459	1.2717682800557703e-10	0.5954706377500495	0.39109083339538486	0.864	0.813	4.418504535397763e-6	0.05100000000000004	1
responders	Trm_merge	PCSK7	responders_Pre	responders_Post	2112	459	1.3495296726188734e-10	0.585113285634119	0.4440103323033703	0.438	0.283	4.688670941579753e-6	0.15500000000000003	1
responders	Trm_merge	ZNF282	responders_Pre	responders_Post	2112	459	1.4194573039091867e-10	0.5577424572522611	0.3290099407114637	0.161	0.048	4.931620510971687e-6	0.113	1
responders	Trm_merge	NSD3	responders_Pre	responders_Post	2112	459	1.4302352997681516e-10	0.5934735426156995	0.3846525595803581	0.682	0.562	4.969066501984489e-6	0.12	1
responders	Trm_merge	RNF115	responders_Pre	responders_Post	2112	459	1.4416162815456349e-10	0.5801783150128739	0.39620817458280855	0.362	0.216	5.008607446974e-6	0.146	1
responders	Trm_merge	GSPT1	responders_Pre	responders_Post	2112	459	2.1687269990224478e-10	0.5921944114346075	0.3716042094817129	0.664	0.536	7.53480821270369e-6	0.128	1
responders	Trm_merge	HLA-DPB1	responders_Pre	responders_Post	2112	459	2.221175058048757e-10	0.5852742085891596	0.4474695359386024	0.458	0.314	7.717028504178797e-6	0.14400000000000002	1
responders	Trm_merge	ID2	responders_Pre	responders_Post	2112	459	2.9353643638059964e-10	0.5900271093285799	0.5023449681000967	0.597	0.473	1.0198336409171171e-5	0.124	1
responders	Trm_merge	DUSP4	responders_Pre	responders_Post	2112	459	3.0132499718501105e-10	0.5918421345811051	0.4798539192942719	0.684	0.569	1.046893437719884e-5	0.1150000000000001	1
responders	Trm_merge	DNAJC15	responders_Pre	responders_Post	2112	459	3.5046851989641264e-10	0.5714683600713012	0.394068779703331	0.28	0.139	1.2176327786761064e-5	0.141	1
responders	Trm_merge	ST3GAL1	responders_Pre	responders_Post	2112	459	4.2137824156492456e-10	0.5647689105103321	0.3650978323204696	0.222	0.094	1.4639944246690176e-5	0.128	1
responders	Trm_merge	GTF2H5	responders_Pre	responders_Post	2112	459	4.36791553623875e-10	0.5791921461345481	0.4036037100088886	0.378	0.235	1.517544894755429e-5	0.14300000000000002	1
responders	Trm_merge	GLCCI1	responders_Pre	responders_Post	2112	459	5.131933164571544e-10	0.5730244644153958	0.3768472724410585	0.304	0.161	1.7829875393670914e-5	0.143	1
responders	Trm_merge	AGPAT5	responders_Pre	responders_Post	2112	459	5.144643667739406e-10	0.5645930299729319	0.3841865000865203	0.223	0.096	1.7874035494827023e-5	0.127	1
responders	Trm_merge	EVL	responders_Pre	responders_Post	2112	459	5.8001349706877e-10	0.5907605466428996	0.46170662479112035	0.705	0.627	2.015140892866028e-5	0.07799999999999996	1
responders	Trm_merge	SOX4	responders_Pre	responders_Post	2112	459	6.050508572067669e-10	0.5588297187561894	0.8611369160090657	0.181	0.068	2.10212819319347e-5	0.113	1
responders	Trm_merge	ARHGEF12	responders_Pre	responders_Post	2112	459	7.009849724694136e-10	0.5788924787086552	0.4395715984200036	0.388	0.244	2.435432089850484e-5	0.14400000000000002	1
responders	Trm_merge	ATP5MC2	responders_Pre	responders_Post	2112	459	7.389832909687367e-10	0.591316040305011	0.34641012626399137	0.829	0.81	2.567449647812682e-5	0.0189999999999999	1
responders	Trm_merge	GALNT2	responders_Pre	responders_Post	2112	459	7.474937489401683e-10	0.5647039223938733	0.4589935633912494	0.228	0.107	2.5970175319428267e-5	0.121	1
responders	Trm_merge	H1FX	responders_Pre	responders_Post	2112	459	1.5051950741292042e-9	0.5789311621113091	0.4269813883271548	0.414	0.272	5.229499246047095e-5	0.14199999999999996	1
responders	Trm_merge	RCSD1	responders_Pre	responders_Post	2112	459	1.6731536168887983e-9	0.5770129811183733	0.41202441405489665	0.384	0.253	5.813037611156752e-5	0.131	1
