gene	distance	count	nCount_Spatial	cpm
SPRR2D	9	353	225972	1562.140442178677
SPRR2D	10	731	231868	3152.655821415633
SPRR2F	1	4126	2360927	1747.618626073572
SPRR2F	2	3076	2187821	1405.9651132336696
SPRR2F	3	1510	1586463	951.8028469620785
SPRR2F	4	323	897835	359.75429783868975
SPRR2F	5	338	629984	536.5215624523798
SPRR2F	6	358	625463	572.3759838711483
SPRR2F	7	256	776226	329.80085696691424
SPRR2F	8	148	586713	252.25280503414785
SPRR2F	9	67	225972	296.49691112173184
SPRR2F	10	157	231868	677.1093898252454
TNF	1	12	2360927	5.0827492760259
TNF	2	14	2187821	6.399060983508249
TNF	3	6	1586463	3.7819980673989875
TNF	4	5	897835	5.568951978927085
TNF	5	4	629984	6.349367602986742
TNF	6	2	625463	3.197631194810884
TNF	7	5	776226	6.441422987635045
TNF	8	6	586713	10.226465068951942
TNF	9	2	225972	8.85065406333528
TNF	10	4	231868	17.251194645229184
ZC3H12A	1	1234	2360927	522.67605055133
ZC3H12A	2	977	2187821	446.5630414919685
ZC3H12A	3	739	1586463	465.8160953013086
ZC3H12A	4	439	897835	488.95398374979806
ZC3H12A	5	285	629984	452.3924417128054
ZC3H12A	6	253	625463	404.50034614357685
ZC3H12A	7	292	776226	376.1791024778866
ZC3H12A	8	178	586713	303.3851303789076
ZC3H12A	9	85	225972	376.15279769174947
ZC3H12A	10	65	231868	280.3319129849742
