gene,patient,treatment,cpm,log10cpm
AL441992.1,P5,Pre,16.957,1.254
AL441992.1,P5,Mid,8.006,0.955
AL441992.1,P6,Pre,31.88,1.517
AL441992.1,P6,Mid,16.589,1.245
AL441992.1,P7,Pre,24.386,1.405
AL441992.1,P7,Mid,25.442,1.422
AL441992.1,P8,Pre,25.895,1.43
AL441992.1,P8,Mid,13.492,1.161
AL441992.1,P9,Pre,28,1.462
AL441992.1,P9,Mid,24.935,1.414
AL606807.1,P1,Pre,1.564,0.409
AL606807.1,P1,Mid,0,0
AL606807.1,P2,Pre,1.129,0.328
AL606807.1,P2,Mid,0,0
AL606807.1,P3,Pre,10.222,1.05
AL606807.1,P3,Mid,2.78,0.577
AL606807.1,P4,Pre,3.096,0.612
AL606807.1,P4,Mid,0,0
AL606807.1,P5,Pre,5.79,0.832
AL606807.1,P5,Mid,2.002,0.477
AL606807.1,P6,Pre,9.624,1.026
AL606807.1,P6,Mid,1.276,0.357
AL606807.1,P7,Pre,5.914,0.84
AL606807.1,P7,Mid,4.902,0.771
AL606807.1,P8,Pre,2.739,0.573
AL606807.1,P8,Mid,1.227,0.348
AL606807.1,P9,Pre,8.438,0.975
AL606807.1,P9,Mid,7.992,0.954
ANGPTL4,P1,Pre,0.782,0.251
ANGPTL4,P1,Mid,0,0
ANGPTL4,P2,Pre,0.565,0.194
ANGPTL4,P2,Mid,0,0
ANGPTL4,P3,Pre,0.499,0.176
ANGPTL4,P3,Mid,0,0
ANGPTL4,P4,Pre,0.182,0.073
ANGPTL4,P4,Mid,0,0
ANGPTL4,P5,Pre,0.414,0.15
ANGPTL4,P5,Mid,0,0
ANGPTL4,P6,Pre,0.602,0.205
ANGPTL4,P6,Mid,0,0
ANGPTL4,P7,Pre,0.486,0.172
ANGPTL4,P7,Mid,0,0
ANGPTL4,P8,Pre,0,0
ANGPTL4,P8,Mid,0,0
ANGPTL4,P9,Pre,0,0
ANGPTL4,P9,Mid,0,0
ANK3,P1,Pre,38.319,1.595
ANK3,P1,Mid,64.443,1.816
ANK3,P2,Pre,15.526,1.218
ANK3,P2,Mid,5.157,0.789
ANK3,P3,Pre,9.474,1.02
ANK3,P3,Mid,31.964,1.518
ANK3,P4,Pre,37.52,1.586
ANK3,P4,Mid,30.408,1.497
ANK3,P5,Pre,15.716,1.223
ANK3,P5,Mid,5.004,0.778
ANK3,P6,Pre,24.662,1.409
ANK3,P6,Mid,22.969,1.38
ANK3,P7,Pre,16.77,1.25
ANK3,P7,Mid,17.739,1.273
ANK3,P8,Pre,30.874,1.503
ANK3,P8,Mid,47.483,1.686
ANK3,P9,Pre,63.288,1.808
ANK3,P9,Mid,46.353,1.675
ANKRD13A,P1,Pre,66.473,1.829
ANKRD13A,P1,Mid,26.666,1.442
ANKRD13A,P2,Pre,65.775,1.825
ANKRD13A,P2,Mid,46.417,1.676
ANKRD13A,P3,Pre,70.809,1.856
ANKRD13A,P3,Mid,59.759,1.784
ANKRD13A,P4,Pre,53.184,1.734
ANKRD13A,P4,Mid,33.985,1.544
ANKRD13A,P5,Pre,56.66,1.761
ANKRD13A,P5,Mid,32.026,1.519
ANKRD13A,P6,Pre,70.075,1.852
ANKRD13A,P6,Mid,28.711,1.473
ANKRD13A,P7,Pre,41.724,1.631
ANKRD13A,P7,Mid,34.779,1.554
ANKRD13A,P8,Pre,54.777,1.746
ANKRD13A,P8,Mid,62.201,1.801
ANKRD13A,P9,Pre,55.234,1.75
ANKRD13A,P9,Mid,88.231,1.951
ANKRD26,P1,Pre,46.14,1.673
ANKRD26,P1,Mid,15.555,1.219
ANKRD26,P2,Pre,26.254,1.435
ANKRD26,P2,Mid,22.693,1.375
ANKRD26,P3,Pre,43.134,1.645
ANKRD26,P3,Mid,25.016,1.415
ANKRD26,P4,Pre,26.956,1.446
ANKRD26,P4,Mid,13.415,1.159
ANKRD26,P5,Pre,35.981,1.568
ANKRD26,P5,Mid,18.014,1.279
ANKRD26,P6,Pre,24.361,1.404
ANKRD26,P6,Mid,5.742,0.829
ANKRD26,P7,Pre,30.138,1.493
ANKRD26,P7,Mid,13.305,1.155
ANKRD26,P8,Pre,31.372,1.51
ANKRD26,P8,Mid,24.53,1.407
ANKRD26,P9,Pre,43.343,1.647
ANKRD26,P9,Mid,49.23,1.701
