p_val,auc,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.7617601684204941,1.0897353942874366,0.961,0.831,0,Tcm,PABPC1
0,0.7585433244007956,0.7236105975405973,0.993,0.952,0,Tcm,RPL36
0,0.7578365690217821,0.7813811430741593,0.991,0.93,0,Tcm,RPS21
0,0.7577381366683063,0.7238779132815476,0.983,0.917,0,Tcm,RPL27
0,0.7569878855246209,0.7405959345561746,0.996,0.96,0,Tcm,RPL37
0,0.7557186984562155,0.6386550417516759,0.993,0.959,0,Tcm,RPL7A
0,0.7521593489862203,0.6716808602031561,0.991,0.939,0,Tcm,RPL35
0,0.751643423432605,0.6120007479266247,0.999,0.965,0,Tcm,RPL8
0,0.7515998323582801,0.8960266116141384,0.944,0.803,0,Tcm,EEF1B2
0,0.7510772298921511,0.6606735179671857,0.999,0.96,0,Tcm,RPL12
0,0.7422335372504135,0.663458861292404,0.996,0.959,0,Tcm,RPL37A
0,0.7399568268637409,1.0784713460308604,0.802,0.397,0,Tcm,GIMAP7
0,0.736643645993737,0.7411462587361162,0.982,0.917,0,Tcm,RPL38
0,0.7357423251222337,0.7427545858965408,0.979,0.92,0,Tcm,RPS10
0,0.735416212408597,0.6983535519567017,0.985,0.921,0,Tcm,RPL7
0,0.7342388459792407,0.5252622240625469,0.997,0.972,0,Tcm,RPL15
0,0.7314573086385889,0.6461603380218177,0.985,0.933,0,Tcm,RPL5
0,0.7304304398172922,0.6048137535350699,0.986,0.941,0,Tcm,RPS11
0,0.7237781357846914,0.8247991014759792,0.973,0.862,0,Tcm,RPL31
0,0.7237204276225949,0.5800233697228991,0.99,0.938,0,Tcm,RACK1
0,0.7213938150391535,0.7209525110909794,0.971,0.837,0,Tcm,SARAF
0,0.7213235938193268,0.8111732696678362,0.888,0.675,0,Tcm,NOP53
0,0.7182559515629807,0.5188325083968799,0.99,0.951,0,Tcm,UBA52
0,0.7152477838393908,0.650324533033301,0.964,0.86,0,Tcm,EEF1D
0,0.7150142120858356,0.5862347225963349,0.99,0.956,0,Tcm,RPL6
0,0.7134155696581014,0.8458889209960341,0.919,0.759,0,Tcm,RPL36A
0,0.710363603483139,1.341529507142485,0.61,0.243,0,Tcm,SESN3
0,0.7069736988660392,0.5137037424605007,0.983,0.949,0,Tcm,NACA
0,0.7058180355444291,1.344608323096135,0.572,0.179,0,Tcm,KLF2
0,0.7026139213857377,0.5074658216339527,0.985,0.947,0,Tcm,RPL24
0,0.700762982261523,0.6640726592969735,0.949,0.824,0,Tcm,RPL4
0,0.6969209951572259,0.4864643854972046,0.991,0.96,0,Tcm,RPS7
0,0.6917012268938811,0.681978035122107,0.889,0.741,0,Tcm,TOMM7
0,0.6913624131216051,0.40300263305499584,0.997,0.977,0,Tcm,FAU
0,0.6881848104950286,0.6235763629013782,0.946,0.681,0,Tcm,ZFP36L2
0,0.6868987672336827,0.6737555570590184,0.949,0.741,0,Tcm,IL7R
0,0.6677032357762873,0.45760682896632554,0.968,0.903,0,Tcm,PFDN5
0,0.6639984652464607,0.4816640347277992,0.955,0.894,0,Tcm,RPL23
0,0.6590196479032775,0.6761222821058643,0.72,0.469,0,Tcm,LDHB
0,0.6566986729905551,0.6408135382138425,0.774,0.6,0,Tcm,EIF3E
0,0.6565936375633625,0.6886664411067738,0.637,0.337,0,Tcm,GIMAP4
0,0.6548404201596605,0.6569747379846516,0.813,0.634,0,Tcm,RPL17
0,0.6492754806559677,0.5072587462487794,0.856,0.615,0,Tcm,LEPROTL1
0,0.6482458169576446,0.5263347920020931,0.859,0.644,0,Tcm,FXYD5
0,0.6458490939125723,0.5163786801019046,0.868,0.756,0,Tcm,EEF2
0,0.6380135739515739,0.6436437573061908,0.543,0.277,0,Tcm,GIMAP1
0,0.6303723615709546,0.6959056166491775,0.426,0.172,0,Tcm,TCF7
0,0.6263518529403389,0.2993836617890784,0.895,0.778,0,Tcm,ZFAS1
0,0.6208859396425762,0.35334149543790705,0.922,0.854,0,Tcm,BTF3
0,0.6206818633464302,0.8432291991999322,0.354,0.115,0,Tcm,SELL
0,0.6192066809586704,0.5721114623099677,0.558,0.364,0,Tcm,SNHG8
