CellType	gene_name	log2FoldChange_il23	log2FoldChange_il17	padj_il23	padj_il17	significant_il23	significant_il17	radar_gene	pv50_gene
Teff	XKR8	-0.172	-0.165	0.943	0.932	FALSE	FALSE	FALSE	FALSE
Teff	EYA3	0.226	0.036	0.785	0.98	FALSE	FALSE	FALSE	FALSE
Teff	DNAJC8	0.123	0.74	0.91	0.483	FALSE	FALSE	FALSE	FALSE
Teff	SESN2	-0.074	0.78	0.981	0.585	FALSE	FALSE	FALSE	FALSE
Teff	MED18	-0.204	0.457	0.874	0.798	FALSE	FALSE	FALSE	FALSE
Teff	PHACTR4	-0.035	-0.611	0.983	0.645	FALSE	FALSE	FALSE	FALSE
Teff	RCC1	0.23	-0.004	0.877	0.998	FALSE	FALSE	FALSE	FALSE
Teff	TRNAU1AP	-0.013	0.525	0.994	0.575	FALSE	FALSE	FALSE	FALSE
Teff	SNHG12	-0.277	0.039	0.875	0.971	FALSE	FALSE	FALSE	FALSE
Teff	TAF12	0.12	0.399	0.858	0.732	FALSE	FALSE	FALSE	FALSE
Teff	GMEB1	0.14	-0.152	0.912	0.926	FALSE	FALSE	FALSE	FALSE
Teff	YTHDF2	-0.098	0.701	0.897	0.563	FALSE	FALSE	FALSE	FALSE
Teff	EPB41	-0.134	-0.242	0.899	0.862	FALSE	FALSE	FALSE	FALSE
Teff	SRSF4	-0.335	0.191	0.253	0.853	FALSE	FALSE	FALSE	FALSE
Teff	MECR	-0.148	-0.488	0.957	0.786	FALSE	FALSE	FALSE	FALSE
Teff	MATN1-AS1	0.107	-0.72	0.978	0.723	FALSE	FALSE	FALSE	FALSE
Teff	LAPTM5	-0.387	0.892	0.123	0.418	FALSE	FALSE	FALSE	FALSE
Teff	PUM1	0.028	-0.191	0.981	0.856	FALSE	FALSE	FALSE	FALSE
Teff	SNRNP40	0.201	0.623	0.873	0.568	FALSE	FALSE	FALSE	FALSE
Teff	ZCCHC17	-0.167	0.433	0.743	0.708	FALSE	FALSE	FALSE	FALSE
Teff	SERINC2	0.221	-0.703	0.955	0.739	FALSE	FALSE	FALSE	FALSE
Teff	PEF1	-0.148	1.41	0.909	0.179	FALSE	FALSE	FALSE	FALSE
Teff	PTP4A2	-0.061	0.175	0.951	0.862	FALSE	FALSE	FALSE	FALSE
Teff	KHDRBS1	-0.082	-0.041	0.916	0.963	FALSE	FALSE	FALSE	FALSE
Teff	TMEM39B	-0.085	-2.23	0.96	0.139	FALSE	FALSE	FALSE	FALSE
Teff	KPNA6	0.031	-0.38	0.987	0.73	FALSE	FALSE	FALSE	FALSE
Teff	TXLNA	-0.084	0.435	0.943	0.76	FALSE	FALSE	FALSE	FALSE
Teff	CCDC28B	0.249	0.47	0.873	0.806	FALSE	FALSE	FALSE	FALSE
Teff	TMEM234	0.334	-0.238	0.853	0.9	FALSE	FALSE	FALSE	FALSE
Teff	EIF3I	0.049	0.673	0.949	0.559	FALSE	FALSE	FALSE	FALSE
Teff	LCK	-0.113	0.985	0.888	0.396	FALSE	FALSE	FALSE	FALSE
Teff	HDAC1	0.189	1.536	0.778	0.15	FALSE	FALSE	FALSE	FALSE
Teff	MARCKSL1	0.344	1.471	0.8	0.301	FALSE	FALSE	FALSE	FALSE
Teff	FAM229A	0.423	-1.308	0.775	0.487	FALSE	FALSE	FALSE	FALSE
Teff	BSDC1	-0.395	0.594	0.546	0.57	FALSE	FALSE	FALSE	FALSE
Teff	ZBTB8A	-0.018	-4.909	0.998	0.035	FALSE	TRUE	FALSE	FALSE
Teff	ZBTB8OS	0.32	0.436	0.66	0.664	FALSE	FALSE	FALSE	FALSE
Teff	RBBP4	0.243	-0.266	0.791	0.793	FALSE	FALSE	FALSE	FALSE
Teff	SYNC	0.355	-4.801	0.739	0.069	FALSE	FALSE	FALSE	FALSE
Teff	YARS	0.022	1.01	0.99	0.263	FALSE	FALSE	FALSE	FALSE
Teff	S100PBP	-0.115	-0.532	0.886	0.628	FALSE	FALSE	FALSE	FALSE
Teff	RNF19B	0.146	0.803	0.9	0.521	FALSE	FALSE	FALSE	FALSE
Teff	AK2	0.318	0.266	0.439	0.797	FALSE	FALSE	FALSE	FALSE
Teff	AZIN2	0.504	-0.474	0.74	0.845	FALSE	FALSE	FALSE	FALSE
Teff	TRIM62	-0.001	1.687	0.999	0.363	FALSE	FALSE	FALSE	FALSE
Teff	ZNF362	-0.087	-0.761	0.981	0.672	FALSE	FALSE	FALSE	FALSE
Teff	PHC2	-0.177	0.989	0.863	0.561	FALSE	FALSE	FALSE	FALSE
Teff	SMIM12	-0.013	0.641	0.994	0.51	FALSE	FALSE	FALSE	FALSE
Teff	ZMYM6	0.067	-0.129	0.976	0.932	FALSE	FALSE	FALSE	FALSE
Teff	ZMYM1	-0.048	-0.633	0.982	0.685	FALSE	FALSE	FALSE	FALSE
Teff	SFPQ	-0.041	0.497	0.973	0.553	FALSE	FALSE	FALSE	FALSE
Teff	ZMYM4	-0.239	-0.081	0.786	0.955	FALSE	FALSE	FALSE	FALSE
Teff	KIAA0319L	-0.991	-0.423	0.101	0.681	FALSE	FALSE	TRUE	FALSE
Teff	NCDN	0.005	1.583	0.999	0.113	FALSE	FALSE	FALSE	FALSE
Teff	PSMB2	-0.03	0.911	0.987	0.377	FALSE	FALSE	FALSE	FALSE
Teff	C1orf216	-0.205	1.062	0.895	0.43	FALSE	FALSE	FALSE	FALSE
Teff	CLSPN	0.14	-2.348	0.947	0.13	FALSE	FALSE	FALSE	FALSE
Teff	AGO4	-0.014	-0.738	0.996	0.557	FALSE	FALSE	FALSE	FALSE
Teff	AGO1	-0.206	-1.056	0.824	0.394	FALSE	FALSE	FALSE	FALSE
Teff	AGO3	-0.137	-1.375	0.871	0.203	FALSE	FALSE	FALSE	FALSE
Teff	ADPRHL2	-0	1.718	0.999	0.232	FALSE	FALSE	FALSE	FALSE
Teff	TRAPPC3	-0.012	0.327	0.994	0.769	FALSE	FALSE	FALSE	FALSE
